timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
2016/09/01 06:31:01.959,2216,ListOffers,200,OK,User Thread Group 1-115,text,true,,66120,202,225,876,0
2016/09/01 06:31:01.715,2482,SetFollow,200,OK,User Thread Group 1-24,text,true,,619,202,225,2315,0
2016/09/01 06:31:01.593,2661,ClaimOffer,200,OK,User Thread Group 1-181,text,true,,617,202,225,2495,0
2016/09/01 06:31:01.740,2517,GetCatagory,200,OK,Vendor Threadgroup 2-17,text,true,,652,23,225,2351,0
2016/09/01 06:31:01.778,2509,UserLogin,200,OK,User Thread Group 1-166,text,true,,942,202,225,2343,0
2016/09/01 06:30:59.596,4713,VendorProvidingOffers,200,OK,User Thread Group 1-5,text,true,,43644,202,225,3828,0
2016/09/01 06:31:01.725,2590,PlaceOrderWIthAddress,200,OK,User Thread Group 1-40,text,true,,639,202,225,2425,0
2016/09/01 06:31:01.848,2483,SaveDeliveryAddress,200,OK,User Thread Group 1-48,text,true,,768,202,225,2317,0
2016/09/01 06:31:01.914,2475,AddRating,200,OK,User Thread Group 1-67,text,true,,616,202,225,2309,0
2016/09/01 06:31:01.907,2518,BusinessList,200,OK,User Thread Group 1-100,text,true,,2270,202,225,2352,0
2016/09/01 06:31:01.907,3430,BusinessList,200,OK,User Thread Group 1-93,text,true,,2816,202,225,3264,0
2016/09/01 06:31:00.162,4295,VendorProvidingOffers,200,OK,User Thread Group 1-62,text,true,,43472,202,225,3413,0
2016/09/01 06:31:02.168,2361,SetRange,200,OK,User Thread Group 1-169,text,true,,630,202,225,2195,0
2016/09/01 06:31:01.273,3268,VendorProducts,200,OK,User Thread Group 1-89,text,true,,43019,202,225,2394,0
2016/09/01 06:31:02.185,2372,UserLogin,200,OK,User Thread Group 1-38,text,true,,942,202,225,2206,0
2016/09/01 06:31:02.183,2395,SetFollow,200,OK,User Thread Group 1-77,text,true,,619,202,225,2229,0
