Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
UserLogin,15607,571,169,3382,347.70,0.00%,6.9,6.35,943.5
VendorLogin,890,692,171,1541,282.92,0.00%,.5,0.51,1083.6
BusinessList,2661,644,173,3224,332.92,0.00%,1.2,2.89,2505.3
ListCategory,301,691,172,1763,292.90,0.00%,.2,0.17,1084.4
GetCatagory,301,676,172,1290,275.18,0.00%,.2,0.10,652.1
VendorSearch,2645,648,173,3088,332.06,0.00%,1.2,1.39,1216.4
ProductList,301,1452,1021,2865,261.09,0.00%,.2,6.92,43183.2
GetVendorDetails,2639,643,172,3385,324.23,0.00%,1.2,1.24,1083.2
GetProduct,299,685,172,1216,276.98,0.00%,.2,0.17,1041.9
GetVendorLocation,2632,642,172,3278,327.77,0.00%,1.2,0.78,673.7
VendorProducts,2616,1416,172,4078,300.06,0.00%,1.2,49.10,42798.5
OrderList,298,8208,171,70033,10328.81,0.00%,.2,56.36,356107.7
SetFollow,5170,653,171,3422,324.03,0.00%,2.3,1.41,618.8
VendorFollowList,2596,642,173,3215,313.72,0.00%,1.2,1.57,1369.4
OrderStatus,292,801,173,4405,396.26,0.00%,.2,0.10,618.9
SalesCount,291,716,171,1255,289.70,0.00%,.2,0.10,645.0
LeadsCount,291,174,170,494,29.10,0.00%,.2,0.10,624.1
Leads,291,184,170,699,63.75,0.00%,.2,0.14,897.8
VendorList,2591,1358,175,5137,818.30,0.00%,1.2,45.54,39692.8
RatingList,2586,1588,1126,4518,279.03,0.00%,1.2,59.88,52318.3
AddRating,2578,657,173,3118,317.68,0.00%,1.2,0.70,614.5
Add/EditOffer,862,726,178,1544,278.83,0.00%,.5,0.29,616.0
RemoveFollow,5138,426,170,3256,340.79,0.00%,2.3,1.46,639.5
VendorProvidingOffers,2569,1519,1112,3340,284.09,0.00%,1.2,39.06,34247.5
ListOffers,2567,1507,1004,3483,228.38,0.00%,1.2,59.65,51882.5
ClaimOffer,2564,720,170,5664,431.57,0.00%,1.2,0.71,616.7
ClaimedOffers,2564,347,170,2932,259.77,0.00%,1.2,10.81,9407.0
ApproveOffer,859,959,394,1759,317.16,0.00%,.5,0.26,556.8
List offer,857,2003,994,2998,350.08,0.00%,.5,31.56,66954.8
SetRange,2557,651,171,3334,315.10,0.00%,1.2,0.72,630.0
ProductSearch,2550,747,174,3100,330.30,0.00%,1.2,3.37,2935.5
SaveDeliveryAddress,2537,667,175,3386,328.66,0.00%,1.2,0.88,770.4
GetDeliveryAddress,2530,658,172,2943,311.18,0.00%,1.2,0.91,792.5
PlaceOrderWIthAddress,2521,800,177,10885,487.66,0.00%,1.2,0.73,639.0
TOTAL,78551,805,169,70033,934.06,0.00%,34.6,358.63,10599.7
