Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
VendorLogin,953,2386,171,5903,1223.54,0.00%,.5,0.54,1084.6
UserLogin,16238,2541,169,12281,1023.32,0.00%,6.6,6.06,943.7
ListCategory,325,2315,172,3810,1228.37,0.00%,.2,0.19,1080.1
BusinessList,2802,2477,173,6276,1029.31,0.00%,1.1,2.81,2516.7
GetCatagory,325,2384,172,12279,1376.93,0.00%,.2,0.11,652.1
ProductList,325,3099,173,5598,1184.01,0.00%,.2,7.25,42320.1
VendorSearch,2785,2498,172,12216,1050.11,0.00%,1.1,1.35,1220.5
GetProduct,325,2336,172,3788,1195.26,0.00%,.2,0.18,1040.8
GetVendorDetails,2774,2485,172,8757,1011.82,0.00%,1.1,1.20,1083.1
GetVendorLocation,2764,2502,172,12272,1045.24,0.00%,1.1,0.74,673.7
VendorProducts,2751,3263,173,6629,973.61,0.00%,1.1,47.22,42879.7
OrderList,322,7024,172,41256,6383.68,0.00%,.2,36.93,221851.0
SetFollow,5375,2571,171,12427,991.04,0.00%,2.2,1.34,618.9
OrderStatus,314,2513,173,7085,1249.31,0.00%,.2,0.10,619.0
VendorFollowList,2703,2549,173,11758,998.90,0.00%,1.1,1.52,1385.5
SalesCount,310,2492,171,11992,1350.91,0.00%,.2,0.11,644.9
LeadsCount,307,2323,170,5094,1297.04,0.00%,.2,0.10,624.8
Leads,307,2316,170,4561,1253.68,0.00%,.2,0.14,828.7
VendorList,2694,3247,175,12173,1228.24,0.00%,1.1,42.66,38912.4
RatingList,2680,3572,1229,12987,953.64,0.00%,1.1,62.09,56848.8
AddRating,2673,2583,173,5711,953.41,0.00%,1.1,0.67,614.5
Add/EditOffer,905,2483,178,5683,1166.08,0.00%,.5,0.30,616.0
RemoveFollow,5304,2577,170,12004,987.21,0.00%,2.2,1.40,639.9
VendorProvidingOffers,2655,4060,1231,13083,1222.66,0.00%,1.1,37.41,34234.7
ListOffers,2649,3906,173,13555,1142.70,0.00%,1.1,60.46,54682.7
ClaimOffer,2640,2720,170,12164,1015.96,0.00%,1.1,0.68,616.9
ClaimedOffers,2639,2642,170,12333,990.35,0.00%,1.1,11.18,10143.6
ApproveOffer,902,2937,316,6187,1208.34,0.00%,.5,0.27,556.8
List offer,901,3927,1285,6974,1126.48,0.00%,.5,33.42,67397.0
SetRange,2622,2611,172,12233,945.42,0.00%,1.1,0.69,630.0
ProductSearch,2617,2719,174,5988,929.22,0.00%,1.1,3.20,2934.6
SaveDeliveryAddress,2601,2626,175,7188,917.00,0.00%,1.1,0.84,770.3
GetDeliveryAddress,2593,2624,172,11883,930.09,0.00%,1.1,0.86,792.4
PlaceOrderWIthAddress,2588,2717,177,6348,926.18,0.00%,1.1,0.69,639.0
TOTAL,81668,2776,169,41256,1217.20,0.00%,33.0,334.13,10369.2
