Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
VendorLogin,947,1698,171,6020,849.98,0.00%,.5,0.54,1082.7
UserLogin,16609,1649,169,7145,779.07,0.00%,6.9,6.38,943.6
ListCategory,322,1690,172,6950,892.29,0.00%,.2,0.18,1083.4
BusinessList,2851,1731,173,5498,711.81,0.00%,1.2,2.92,2505.5
GetCatagory,322,1675,172,5998,848.67,0.00%,.2,0.11,652.0
VendorSearch,2827,1738,173,5270,703.01,0.00%,1.2,1.38,1183.8
ProductList,321,2419,1025,4365,759.64,0.00%,.2,7.25,42388.9
GetVendorDetails,2822,1733,172,5773,694.98,0.00%,1.2,1.26,1082.8
GetProduct,320,1698,172,6830,880.54,0.00%,.2,0.18,1038.6
GetVendorLocation,2814,1735,172,5770,696.84,0.00%,1.2,0.78,673.7
VendorProducts,2796,2511,173,7606,675.29,0.00%,1.2,49.61,42871.6
OrderList,318,9224,172,76929,10976.62,0.00%,.2,60.07,354331.6
SetFollow,5497,1786,171,6684,680.04,0.00%,2.3,1.41,618.9
OrderStatus,313,1795,173,13131,1052.59,0.00%,.2,0.10,619.0
VendorFollowList,2763,1769,173,6041,673.60,0.00%,1.2,1.62,1397.2
VendorList,2756,2447,175,5504,976.73,0.00%,1.2,44.30,38409.1
SalesCount,308,1715,171,5619,816.53,0.00%,.2,0.11,644.9
LeadsCount,304,1325,170,3512,958.30,0.00%,.2,0.10,624.6
Leads,304,1224,170,3638,960.79,0.00%,.2,0.13,775.3
RatingList,2745,2730,1163,7810,651.52,0.00%,1.2,62.12,54069.1
AddRating,2737,1789,173,6079,675.04,0.00%,1.2,0.71,614.7
RemoveFollow,5451,1554,170,6266,853.57,0.00%,2.3,1.46,639.8
Add/EditOffer,901,1745,178,4845,773.08,0.00%,.5,0.30,616.2
VendorProvidingOffers,2727,2820,172,10227,1163.82,0.00%,1.2,39.27,34234.5
ListOffers,2722,2558,388,6905,1016.22,0.04%,1.2,60.78,53091.0
ClaimOffer,2720,1890,170,10429,737.50,0.00%,1.2,0.71,617.1
ClaimedOffers,2718,1372,170,5059,958.06,0.00%,1.2,10.67,9320.1
ApproveOffer,900,2278,406,7321,966.86,0.00%,.5,0.28,556.9
List offer,900,3291,1227,6843,827.83,0.00%,.5,35.27,71135.6
SetRange,2705,1787,172,6864,654.91,0.00%,1.2,0.72,630.2
ProductSearch,2695,1919,174,5996,672.19,0.00%,1.2,3.34,2934.7
SaveDeliveryAddress,2684,1798,175,5354,639.71,0.00%,1.2,0.88,770.4
GetDeliveryAddress,2679,1796,172,7076,649.46,0.00%,1.2,0.90,792.4
PlaceOrderWIthAddress,2674,1894,177,7202,699.83,0.04%,1.2,0.73,639.2
TOTAL,83472,1916,169,76929,1192.83,0.00%,34.7,362.43,10688.4
